# timestamp tx ty tz qx qy qz qw
1766983106.199824 0.400859 -0.151540 0.208393 -0.657985 0.265719 0.647255 0.278405
1766983106.299929 0.332370 -0.180784 0.243801 -0.657549 0.261703 0.648066 0.281339
1766983106.399776 0.327770 -0.060457 0.265430 -0.660232 0.258492 0.648662 0.276612
1766983106.499988 0.301922 -0.009436 0.282325 -0.659797 0.260332 0.648193 0.277023
1766983106.599838 0.287083 0.052652 0.294213 -0.661097 0.259234 0.647538 0.276482
1766983106.699944 0.259120 0.098942 0.289075 -0.660559 0.261353 0.648351 0.273857
1766983106.799775 0.208198 0.141776 0.288696 -0.662433 0.262422 0.645980 0.273909
1766983106.899995 0.174057 0.192401 0.283633 -0.658444 0.268247 0.645369 0.279275
1766983106.999851 0.123727 0.225282 0.271944 -0.659449 0.267049 0.647485 0.273084
1766983107.099940 0.067190 0.271559 0.270234 -0.657781 0.272214 0.643346 0.281655
1766983107.199778 0.002627 0.324616 0.284223 -0.644794 0.264905 0.658599 0.283398
1766983107.299879 -0.047397 0.349006 0.301044 -0.641980 0.262023 0.661119 0.286579
1766983107.399961 -0.070529 0.388917 0.311355 -0.643716 0.264538 0.657349 0.289035
1766983107.499804 -0.111000 0.418302 0.328834 -0.642779 0.262277 0.660543 0.285881
1766983107.599891 -0.159597 0.441283 0.369400 -0.640433 0.267179 0.659637 0.288686
1766983107.699978 -0.207570 0.465729 0.445782 -0.638995 0.268308 0.659786 0.290480
1766983107.799820 -0.251037 0.490621 0.547772 -0.639313 0.264826 0.660836 0.290590
1766983107.899899 -0.281895 0.513784 0.682216 -0.637937 0.268151 0.660380 0.291600
1766983107.999993 -0.317862 0.548097 0.830381 -0.638324 0.268529 0.660209 0.290790
1766983108.099828 -0.376823 0.582540 1.014037 -0.638878 0.267455 0.660580 0.289718
1766983108.199921 -0.405299 0.627530 1.216542 -0.639021 0.262245 0.663835 0.286710
1766983108.299895 -0.447416 0.677935 1.457330 -0.639785 0.261772 0.662846 0.287726
1766983108.399981 -0.479111 0.711994 1.718612 -0.640684 0.260930 0.662405 0.287506
1766983108.499834 -0.499042 0.751854 1.990094 -0.641842 0.263088 0.660827 0.286586
1766983108.599927 -0.504485 0.762941 2.280938 -0.641547 0.261980 0.662137 0.285233
